ID,Layer,Question,Domain,Data Element,FHIR Resource,FHIR Path,Terminology Binding,Binding Strength,Bundle,Code Provenance,Value Provenance,Notes,IG Implementation
Q8.c,Consensus,Q8,Treatment Success Criteria,Improved strength,Observation,Observation.code,local:ShoulderObservationCodes#supraspinatus-strength | local:ShoulderObservationCodes#supraspinatus-strength-dynamometry | local:ShoulderObservationCodes#external-rotation-strength | local:ShoulderObservationCodes#internal-rotation-strength | local:ShoulderObservationCodes#subscapularis-strength,required,"Registration,FollowUp",Local,Numeric,Component (c); reuses Q2.d/Q9.d strength observations; pre/post via effectiveDateTime,Strength codes in ShoulderObservationCodes
Q8.d,Consensus,Q8,Treatment Success Criteria,Improved quality of life,QuestionnaireResponse,QuestionnaireResponse,—,—,"Registration,FollowUp",—,—,Component (d); requires a designated QoL instrument. EQ-5D is not named by the expert consensus A12 but would satisfy A8(d); no QoL Questionnaire defined in IG today,RotatorCuffQuestionnaireResponse profile available; specific QoL instrument (EQ-5D / PROMIS) not yet defined as a Questionnaire resource
Q8.e,Consensus,Q8,Treatment Success Criteria,Patient satisfaction with treatment,Observation,Observation.code | Observation.valueCodeableConcept,http://loinc.org#77218-6 | SatisfactionScale (LOINC LL4543-6 LA codes),required,FollowUp,Reused,Reused,Component (e); Observation.code fixed to LOINC 77218-6 (Patient satisfaction with healthcare delivery) per ADR-0070. ValueSet SatisfactionScale draws on LOINC LL4543-6 (5 LA codes: LA27750-1 Not at all satisfied / LA24976-5 Mostly dissatisfied / LA27752-7 Somewhat satisfied / LA24974-0 Mostly satisfied / LA27754-3 Completely satisfied). Shared with Q12.g.,PatientSatisfactionObservation profile (code = LOINC#77218-6); valueCodeableConcept required-bound to SatisfactionScale (LOINC LL4543-6 codes)
Q9.a,Consensus,Q9,Physical Examination (Post-treatment),Inspection,Observation,Observation.code | Observation.valueCodeableConcept,local:ShoulderObservationCodes#atrophy + SNOMED CT 111263009 + local:ShoulderObservationCodes#normal-shoulder-contour | PresentAbsent (SNOMED),required,FollowUp,Reused + Local,Reused,"Same three profiles as Q2.a (AtrophyObservation/DeformityObservation/NormalShoulderContourObservation); effectiveDateTime distinguishes post-op. Terminology as for Q2.a (ADR-0115, ADR-0116).",Shared with Q2.a
Q9.b,Consensus,Q9,Physical Examination (Post-treatment),Active ROM,Observation,Observation.code | Observation.valueQuantity | Observation.valueCodeableConcept,http://loinc.org#41389-8 | http://loinc.org#41381-5 | http://loinc.org#41387-2 | local:ShoulderObservationCodes#internal-rotation (InternalRotationVertebralLevel) | local:ShoulderObservationCodes#external-rotation-90-abduction | local:ShoulderObservationCodes#internal-rotation-90-abduction,required,FollowUp,Reused + Local,Numeric + Local,Same as Q2.b (ADR-0088); pre/post via effectiveDateTime,Same profiles as Q2.b
Q9.c,Consensus,Q9,Physical Examination (Post-treatment),Passive ROM,Observation,Observation.code | Observation.valueQuantity | Observation.valueCodeableConcept,http://loinc.org#41390-6 | http://loinc.org#41382-3 | http://loinc.org#41388-0 | local:ShoulderObservationCodes#passive-internal-rotation (InternalRotationVertebralLevel) | local:ShoulderObservationCodes#passive-external-rotation-90-abduction | local:ShoulderObservationCodes#passive-internal-rotation-90-abduction,required,FollowUp,Reused + Local,Numeric + Local,Same as Q2.c (ADR-0088); pre/post via effectiveDateTime,Same profiles as Q2.c
Q9.d,Consensus,Q9,Physical Examination (Post-treatment),Strength,Observation,Observation.code,local:ShoulderObservationCodes#supraspinatus-strength | local:ShoulderObservationCodes#external-rotation-strength | local:ShoulderObservationCodes#subscapularis-strength | local:ShoulderObservationCodes#internal-rotation-strength | local:ShoulderObservationCodes#supraspinatus-strength-dynamometry,required,FollowUp,Local,Numeric,Same as Q2.d (ADR-0089); five MMT/dynamometry codes. Pre/post differentiated by effectiveDateTime,Same strength codes as Q2.d
Q9.e,Consensus,Q9,Physical Examination (Post-treatment),Jobe test,Observation,Observation.code | Observation.valueCodeableConcept,SNOMED CT 1231437004 | PositiveNegative,required,FollowUp,Reused,Reused,"Shares Q2.e's profile — SNOMED CT 1231437004 ""Empty can test"" (ADR-0115).",Same JobeTestObservation profile as Q2.e (effectiveDateTime distinguishes post-op)
Q9.f,Consensus,Q9,Physical Examination (Post-treatment),Lift-off test,Observation,Observation.code | Observation.valueCodeableConcept,SNOMED CT 1231510004 | PositiveNegative,required,FollowUp,Reused,Reused,"Shares Q2.f's profile — SNOMED CT 1231510004 ""Lift-off test"" (ADR-0115).",Same LiftOffTestObservation profile as Q2.f (effectiveDateTime distinguishes post-op)
Q9.g,Consensus,Q9,Physical Examination (Post-treatment),Belly press test,Observation,Observation.code | Observation.valueCodeableConcept,local:ShoulderObservationCodes#belly-press-test | PositiveNegative,required,FollowUp,Local,Reused,Same as Q2.g — local code retained; no belly-press concept in SNOMED CT (verified Aug 2026).,#belly-press-test in ShoulderObservationCodes
Q10,Consensus,Q10,Follow-up,Routine follow-up for 6 months to 1 year (depending on treatment and symptoms),Encounter,Encounter.type | Encounter.period | Encounter.status,ShoulderEncounterType,extensible,FollowUp,Reused,—,A10 is one consensus statement covering both interval and completion; ShoulderEncounter.type bound to ShoulderEncounterType captures both,ShoulderEncounter profile with type = SNOMED 390906007 + period.start/end + status
Q11.a,Consensus,Q11,Follow-up (Research),Research follow-up at 6 weeks,CarePlan,CarePlan.activity.detail.scheduledTiming,—,—,Surgery,Local,—,"expert consensus A11 enumerates 5 timepoints; RotatorCuffResearchCarePlan implements all 5 as activities. Moved from Registration to Surgery bundle (ADR-0129) — the schedule anchors to the index procedure date, unknown at registration; auto-generated by both frontends with zero added clinician-facing fields",RotatorCuffResearchCarePlan.activity (one per timepoint)
Q11.b,Consensus,Q11,Follow-up (Research),Research follow-up at 3 months,CarePlan,CarePlan.activity.detail.scheduledTiming,—,—,Surgery,Local,—,Same realisation as Q11.a; see ADR-0129 for the Registration→Surgery bundle move,RotatorCuffResearchCarePlan.activity
Q11.c,Consensus,Q11,Follow-up (Research),Research follow-up at 6 months,CarePlan,CarePlan.activity.detail.scheduledTiming,—,—,Surgery,Local,—,Same realisation as Q11.a; see ADR-0129 for the Registration→Surgery bundle move,RotatorCuffResearchCarePlan.activity
Q11.d,Consensus,Q11,Follow-up (Research),Research follow-up at 1 year,CarePlan,CarePlan.activity.detail.scheduledTiming,—,—,Surgery,Local,—,Same realisation as Q11.a; see ADR-0129 for the Registration→Surgery bundle move,RotatorCuffResearchCarePlan.activity
Q11.e,Consensus,Q11,Follow-up (Research),Research follow-up at 2 years,CarePlan,CarePlan.activity.detail.scheduledTiming,—,—,Surgery,Local,—,Same realisation as Q11.a; see ADR-0129 for the Registration→Surgery bundle move,RotatorCuffResearchCarePlan.activity
Q12.a,Consensus,Q12,PROM (component),Pain,Observation,Observation.code,local:ShoulderObservationCodes#pain-average/#pain-active-movement/#pain-passive-movement/#pain-rest,required,FollowUp,Local,Numeric,A12 required component (a); 4 pain profiles reused (also Q1.h / Q8.a; see ADR-0087),4 pain profiles (local codes)
Q12.b,Consensus,Q12,PROM (component),Strength,Observation,Observation.code,local:ShoulderObservationCodes#supraspinatus-strength | local:ShoulderObservationCodes#external-rotation-strength | local:ShoulderObservationCodes#subscapularis-strength | local:ShoulderObservationCodes#internal-rotation-strength | local:ShoulderObservationCodes#supraspinatus-strength-dynamometry,required,FollowUp,Local,Numeric,"A12 required component (b); reuses Q9.d strength observations (five axes, ADR-0089)",Strength codes in ShoulderObservationCodes
Q12.c,Consensus,Q12,PROM (component),Function / limitations,Observation,Observation.code,local:ShoulderObservationCodes#functional-limitation-severity | local:FunctionalLimitationSeverity,required,FollowUp,Local,Local,A12 required component (c); reuses FunctionalLimitationsObservation (also Q1.n),FunctionalLimitationsObservation profile (code = ShoulderObservationCodes#functional-limitation-severity); valueCodeableConcept required-bound to FunctionalLimitationSeverity
Q12.d,Consensus,Q12,PROM (component),Range of motion,Observation,Observation.code,http://loinc.org#41389-8 | http://loinc.org#41381-5 | http://loinc.org#41387-2 | local:ShoulderObservationCodes#internal-rotation | local:ShoulderObservationCodes#external-rotation-90-abduction | local:ShoulderObservationCodes#internal-rotation-90-abduction | http://loinc.org#41390-6 | http://loinc.org#41382-3 | http://loinc.org#41388-0 | local:ShoulderObservationCodes#passive-internal-rotation | local:ShoulderObservationCodes#passive-external-rotation-90-abduction | local:ShoulderObservationCodes#passive-internal-rotation-90-abduction,required,FollowUp,Reused + Local,Numeric + Local,A12 required component (d); reuses Q9.b/Q9.c ROM observations,Same active and passive ROM observations as Q9.b and Q9.c, twelve in all
Q12.e,Consensus,Q12,PROM (component),Return to sport/work,Observation,Observation.code | Observation.valueCodeableConcept,local:ShoulderObservationCodes#return-to-sport-work | ReturnToActivity,required,FollowUp,Local,Local,A12 required component (e); local CodeSystem. No equivalent ordinal CodeSystem in SNOMED CT International Edition or LOINC at time of authoring,#return-to-sport-work in ShoulderObservationCodes + ReturnToActivityCodes (returned-full / returned-modified / not-returned)
Q12.f,Consensus,Q12,PROM (component),Impact on daily activities,(covered indirectly by composite PROMs),—,—,—,FollowUp,—,—,"A12 required component (f); no dedicated FHIR profile in IG. Captured via ConstantScoreObservation.component[ADL], which is optional (0..1): a direct-total Constant-Murley submission carries no components, so the element is representable but not present in every conformant bundle",No dedicated profile; carried by ConstantScoreObservation.component[ADL] under component-derived entry
Q12.g,Consensus,Q12,PROM (component),Satisfaction,Observation,Observation.code | Observation.valueCodeableConcept,http://loinc.org#77218-6 | SatisfactionScale (LOINC LL4543-6 LA codes),required,FollowUp,Reused,Reused,A12 required component (g); reuses PatientSatisfactionObservation (also Q8.e). Observation.code fixed to LOINC 77218-6 (ADR-0070). ValueSet SatisfactionScale draws on LOINC LL4543-6 (5 LA codes).,PatientSatisfactionObservation profile (code = LOINC#77218-6); valueCodeableConcept required-bound to SatisfactionScale (LOINC LL4543-6 codes)
Q12-Constant,Consensus,Q12,PROM (preferred instrument),Constant-Murley score,Observation,Observation.code,http://snomed.info/sct#273383002 (total) | local:ShoulderObservationCodes#constant-score-pain/#constant-score-adl/#constant-score-rom/#constant-score-strength (components),required,FollowUp,Reused,Numeric + Local,"A12 preferred instrument; SNOMED CT 273383002 (Constant and Murley shoulder assessment scale) bound directly on the total. Two entry modes (ADR-0090), distinguished by whether Observation.component[] is populated: (1) direct total entry — value[x] only; (2) component-derived entry — all four sub-scores (Pain 0-15 / ADL 0-20 / ROM 0-40 / Strength 0-25, original 1987 breakdown) captured as named component slices, value[x] = their sum. Four of the sub-items are auto-derived from this IG's own Observations by the shared POOS-15 calculator (Sleep, Flexion, Abduction, Internal Rotation), and the rest are entered directly, because their existing IG counterparts measure a different construct. See ADR-0112 for the sub-item calculator and ADR-0158 for the SDC frontend's equivalent.","ConstantScoreObservation profile (code = SNOMED#273383002, valueQuantity 0-100 {score}); component[Pain]/component[ADL]/component[ROM]/component[Strength] slices, each valueQuantity {score} with its own bounds, local codes. Both frontends compute the derived sub-items through shared/constantScore.ts."
Q12-SSV-SANE,Consensus,Q12,PROM (preferred instrument),Subjective Shoulder Value / Single Assessment Numeric Evaluation (SSV/SANE),Observation,Observation.code,local:ShoulderObservationCodes#ssv-score | local:ShoulderObservationCodes#sane-score,required,FollowUp,Local,Numeric,"expert consensus A12 names the preferred scores as 'the Constant score and subjective shoulder value/single assessment numeric evaluation score'. The round-2 ballot on a preferred outcome measure listed five scores (ASES, Constant, WORC, Oxford, Subjective Shoulder Value) and did not include SANE; SANE appears only in the written answer statement, joined to SSV by a slash, and the paper never separates the two. The pair is therefore counted as ONE consensus element. SSV (Gilbart and Gerber 2007) and SANE (Williams et al. 1999) are two separately published single-item ratings of the shoulder as a percentage of normal, so the IG keeps a profile for each. See ADR-0189 (corrects ADR-0039)",SsvScoreObservation + SaneScoreObservation profiles (separate FSH artifacts; counted as one consensus element); valueQuantity 0–100
Q13,Consensus,Q13,Follow-up Imaging,No routine imaging at follow-up (except in research studies),ImagingStudy + CarePlan,ImagingStudy.modality,http://dicom.nema.org/resources/ontology/DCM,extensible,FollowUp,Reused,—,"A13 is one consensus statement (no routine imaging) with an exception for research; IG supports research-driven re-imaging via ShoulderImagingStudy in RotatorCuffFollowUpBundle when scheduled by RotatorCuffResearchCarePlan. The follow-up entry[imagingStudy] slice is 0..*, so a research protocol re-imaging in more than one modality at one visit is representable. Both frontends build it (status+subject+modality+encounter, the last attributable to the specific visit since a patient can have up to five follow-up visits). See ADR-0153.",ShoulderImagingStudy reused (gains optional encounter field for follow-up); RotatorCuffResearchCarePlan documents the research-only trigger
L3.A.1,IG-Operational,—,A: Patient identity & contact,Patient identifier,Patient,Patient.identifier,—,—,Registration,—,—,Required for registry primary key; not in expert consensus Q1 (which is clinical history only). ShoulderPatient parents from HL7 Europe Core `patient-eu-core` (ADR-0057); instances additionally claim IPS `Patient-uv-ips` via `meta.profile[]`. Both eu-pat-1 and ips-pat-1 invariants satisfied trivially by `name.family 1..1 MS` (see L3.A.2).,ShoulderPatient.identifier 1..* MS
L3.A.2,IG-Operational,—,A: Patient identity & contact,Patient name,Patient,Patient.name,—,—,Registration,—,—,"Required for registration; not in expert consensus Q1. `name.family 1..1 MS` is load-bearing — it satisfies both EU `eu-pat-1` (family ∨ given ∨ text ∨ data-absent-reason) and IPS `ips-pat-1` (family ∨ given ∨ text) by structural construction, enabling the multi-profile claim on ShoulderPatient (ADR-0057).",ShoulderPatient.name 1..* MS; family 1..1 MS; given MS
L3.A.3,IG-Operational,—,A: Patient identity & contact,Date of birth,Patient,Patient.birthDate,—,—,Registration,—,—,expert consensus Q1.a names 'Age' (a derived value); the IG stores birthDate (the canonical fact). Age is computed from birthDate at query time,ShoulderPatient.birthDate 1..1 MS
L3.A.4,IG-Operational,—,A: Patient identity & contact,Address (EU Base),Patient,Patient.address,—,—,Registration,—,—,"Not named by the expert consensus. Required for jurisdiction / registry geography / EHDS alignment. The `address only Address-eu` constraint is INHERITED from patient-eu (parent of patient-eu-core, ADR-0057) rather than redeclared locally. See ADR-0038 (original) + ADR-0057 (inheritance via EU Core).",ShoulderPatient.address (inherited from patient-eu-core → patient-eu; Address-eu datatype)
L3.A.5,IG-Operational,—,A: Patient identity & contact,Telecom,Patient,Patient.telecom,—,—,Registration,—,—,Not named by the expert consensus. Optional but supported,ShoulderPatient.telecom MS
L3.A.6,IG-Operational,—,A: Patient identity & contact,Recorded sex or gender (sex assigned at birth),Patient,Patient.extension[recordedSexOrGender].extension[value].valueCodeableConcept,http://hl7.org/fhir/ValueSet/administrative-gender (value) + LOINC#76689-9 (type pinned),required,Registration,—,Reused,"expert consensus Q1.b names only ""Gender"" (administrative). HL7 Gender Harmony's `individual-recordedSexOrGender` (RSG) extension carries sex assigned at birth as a separate research-stratification variable. R4-backported via hl7.fhir.uv.extensions.r4 (already in EU Base's dependency chain). `type` pinned to LOINC 76689-9 so every RSG instance in the registry uniformly represents sex at birth; cardinality 0..1 (one fixed type → one record per patient). Replaces the SFCU extension considered earlier — SFCU is a runtime CDS directive, not a demographic. See ADR-0053.","ShoulderPatient.extension[recordedSexOrGender] 0..1 MS, profile = http://hl7.org/fhir/StructureDefinition/individual-recordedSexOrGender"
L3.B.1,IG-Operational,—,B: FHIR-required resource metadata,Condition clinicalStatus,Condition,Condition.clinicalStatus,http://hl7.org/fhir/ValueSet/condition-clinical,required,Registration,—,Reused,FHIR-required for any Condition; no consensus counterpart,RotatorCuffCondition.clinicalStatus 1..1 MS
L3.B.2,IG-Operational,—,B: FHIR-required resource metadata,Condition verificationStatus,Condition,Condition.verificationStatus,http://hl7.org/fhir/ValueSet/condition-ver-status,required,Registration,—,Reused,"FHIR-required; no consensus counterpart. Not prompted in the registration wizard (StepCondition.tsx) or the standalone ConditionForm.tsx — every diagnosis registered through this workflow is clinically confirmed at the point of entry, so the value is fixed to 'confirmed' at submission rather than asked. See ADR-0105.","RotatorCuffCondition.verificationStatus 1..1 MS (value fixed to 'confirmed' by both frontends, not user-editable)"
L3.B.3,IG-Operational,—,B: FHIR-required resource metadata,Condition category,Condition,Condition.category,http://terminology.hl7.org/CodeSystem/condition-category#encounter-diagnosis,required,Registration,—,Reused,Fixed to encounter-diagnosis in the IG,RotatorCuffCondition.category 1..* MS; fixed value
L3.B.4,IG-Operational,—,B: FHIR-required resource metadata,Procedure status,Procedure,Procedure.status,http://hl7.org/fhir/ValueSet/event-status,required,"Registration,Surgery",—,Reused,"FHIR-required; no consensus counterpart. Not prompted in the surgery wizard (SurgicalEventStep.tsx) — every procedure recorded through this retrospective wizard is completed by construction, so the value is fixed to 'completed' at submission rather than asked. See ADR-0108.","RotatorCuffProcedure.status 1..1 MS (value fixed to 'completed' by the surgery wizard, not user-editable)"
L3.B.5,IG-Operational,—,B: FHIR-required resource metadata,Encounter status + class,Encounter,Encounter.status | Encounter.class,http://hl7.org/fhir/ValueSet/encounter-status | http://terminology.hl7.org/CodeSystem/v3-ActCode,required,"Registration,Surgery,FollowUp",—,Reused,FHIR-required; no consensus counterpart. The surgery wizard (SurgicalEventStep.tsx) presents v3-ActCode#AMB as 'Day surgery (outpatient)' — a display label only; code and system are unaffected. See ADR-0108.,ShoulderEncounter.status 1..1 MS + Encounter.class 1..1 MS
L3.B.6,IG-Operational,—,B: FHIR-required resource metadata,Observation status,Observation,Observation.status,http://hl7.org/fhir/ValueSet/observation-status,required,"Registration,Surgery,FollowUp",—,Reused,FHIR-required across all 35 derived Observation profiles,Observation.status (inherited)
L3.C.1,IG-Operational,—,C: Temporal anchoring,Procedure performed dateTime,Procedure,Procedure.performedPeriod | Procedure.performedDateTime,—,—,"Registration,Surgery",—,—,"Load-bearing — Q11 research follow-up timepoints (6 wk / 3 mo / 6 mo / 1 y / 2 y) are all computed from this anchor. the expert consensus names the timepoints but never names the anchor. Surgery wizard captures one wizard-level day-of-surgery date plus one incision time / closure time for the whole surgical event, composed into Procedure.performedPeriod.start/.end with an explicit UTC offset, which a dateTime at minute precision requires (ADR-0110). The incision/closure pair sits at the surgical-event level and applies to every Procedure recorded in that event (index + any concomitant), since a concomitant procedure is performed through the same skin incision as the index procedure (ADR-0121). Encounter.period is composed from that same pair rather than captured a second time, so the wizard asks for the surgical day once (ADR-0108, ADR-0110). Q11 timepoint computation (patientStage.ts) reads performedPeriod.start, falling back to performedDateTime for older data. Prior-treatment Procedures (Registration bundle, Q1.f) use performedDateTime, defaulted to the registration date, an approximate historical date carrying little clinical value there (see ADR-0105). See ADR-0108, ADR-0110, ADR-0121.",RotatorCuffProcedure.performed[x] 1..1 MS (surgery wizard emits performedPeriod; prior-treatment Procedures emit performedDateTime)
L3.C.2,IG-Operational,—,C: Temporal anchoring,Encounter period,Encounter,Encounter.period,—,—,"Registration,Surgery,FollowUp",—,—,"expert consensus Q10 names 'follow-up for 6 months to 1 year' but never names a period structure. In the Surgery bundle, period is composed directly from the one incision time / closure time captured once for the whole surgical event (ADR-0110, ADR-0121), so the wizard does not ask for the same day twice. Registration and Follow-Up Encounter.period are directly captured, single-visit encounters with no comparable operative-window anchor to derive from.",ShoulderEncounter.period MS
L3.C.3,IG-Operational,—,C: Temporal anchoring,Condition onset + recordedDate + assertedDate,Condition,Condition.onset[x] | Condition.recordedDate | Condition.extension[assertedDate],—,—,Registration,—,—,EU Core alignment via assertedDate extension (ADR-0038). expert consensus Q1.e implies onset but never names the field,RotatorCuffCondition.onset[x] MS / .recordedDate MS / extension[assertedDate]
L3.C.4,IG-Operational,—,C: Temporal anchoring,Observation effective dateTime,Observation,Observation.effectiveDateTime,—,—,"Registration,Surgery,FollowUp",—,—,Used across all 35 derived Observation profiles to distinguish pre / intra / post-operative measurements with the same Observation.code,Observation.effectiveDateTime (inherited)
L3.C.5,IG-Operational,—,C: Temporal anchoring,Procedure recorded extension,Procedure,Procedure.extension[recorded],—,—,"Registration,Surgery",—,—,Captures when the procedure record was created — EU Core alignment (ADR-0038). Not named by the expert consensus,RotatorCuffProcedure.extension[recorded]
L3.D.1,IG-Operational,—,D: Laterality,Condition body site (laterality),Condition,Condition.bodySite,ShoulderLaterality,required,Registration,—,Reused,Hand dominance is in expert consensus Q1.m but the affected shoulder side is never lettered. Precoordinated SNOMED region code per ADR-0014b and ADR-0064,RotatorCuffCondition.bodySite 1..1 MS bound to ShoulderLaterality
L3.D.2,IG-Operational,—,D: Laterality,Procedure body site (laterality),Procedure,Procedure.bodySite,ShoulderLaterality,required,"Registration,Surgery",—,Reused,Surgical side is clinically essential but never named by the expert consensus,RotatorCuffProcedure.bodySite 1..1 MS bound to ShoulderLaterality
L3.E.1,IG-Operational,—,E: Diagnosis & procedure coding,Condition code value set,Condition,Condition.code,RotatorCuffDiagnosis,fixed,Registration,Reused,—,"The 13 consensus questions are all scoped 'in the setting of a suspected/known rotator cuff tear' — the full paper confirms no disease-entity selection is defined anywhere; Q4 fixes only the classification axes (size / tendons / partial vs full / Patte / Goutallier), each already its own element. Condition.code is fixed to the single tear inclusion diagnosis (SNOMED 926335004) rather than offered as a choice: the non-tear entities (tendinitis, impingement, calcific tendinitis, tear arthropathy) are out of consensus scope, and offering them alongside the tear code would make two options appear to overlap for the same patient. See ADR-0111 and ADR-0076.",RotatorCuffCondition.code 1..1 MS fixed = SNOMED 926335004 'Rupture of rotator cuff of shoulder'; RotatorCuffDiagnosis enumerates that same single code and is not itself bound to any element — the fixed value on RotatorCuffCondition.code is what constrains the element
L3.E.2,IG-Operational,—,E: Diagnosis & procedure coding,Procedure code value set,Procedure,Procedure.code,RotatorCuffProcedureType,extensible,"Registration,Surgery",Reused,—,the expert consensus names surgical treatment but enumerates no procedure codes,RotatorCuffProcedure.code 1..1 MS bound to RotatorCuffProcedureType
L3.E.3,IG-Operational,—,E: Diagnosis & procedure coding,Procedure category value set,Procedure,Procedure.category,RotatorCuffProcedureCategory,extensible,"Registration,Surgery",—,Local,Distinguishes index surgical procedure from prior PT/injection procedures (Q1.f); enables the registration-bundle invariant 'exactly one surgical procedure per case',RotatorCuffProcedure.category 1..1 MS bound to RotatorCuffProcedureCategory
L3.E.4,IG-Operational,—,E: Diagnosis & procedure coding,Tear location (Q4 refinement),Observation,Condition.evidence.detail → TearLocationObservation.valueCodeableConcept,TearLocation,required,Registration,Local,Local,"An IG decomposition choice under expert consensus Q4 'tear classification', alongside Patte (Q4.d) and Goutallier (Q4.e) — the consensus's own a-e enumeration does not include tear location, so this is Layer 2, not a new consensus letter-item (same accounting discipline as ADR-0036/ADR-0039). No SNOMED CT or LOINC concept exists for this axis (verified July 2026). See ADR-0076.",TearLocationObservation.valueCodeableConcept from TearLocation (required) — local codes: insertion-near / musculotendinous / intratendinous
L3.E.5,IG-Operational,—,E: Diagnosis & procedure coding,Non-rotator-cuff shoulder diagnosis,Condition,RotatorCuffRegistrationBundle.otherDiagnosis.code,ShoulderDiagnosis,extensible,Registration,Reused,—,"Coexisting shoulder pathology distinct from the rotator cuff tear (AC joint OA, biceps tendinopathy, glenoid labrum tear, adhesive capsulitis, glenohumeral OA, shoulder instability). Not named by the expert consensus; added so a real coexisting finding does not have to be force-coded into RotatorCuffDiagnosis. See ADR-0077.",ShoulderDiagnosisCondition.code 1..1 MS bound to ShoulderDiagnosis (extensible); RotatorCuffRegistrationBundle.otherDiagnosis 0..*
L3.E.6,IG-Operational,—,E: Diagnosis & procedure coding,Procedure approach,Observation,Observation.code | Observation.valueCodeableConcept,local:ShoulderObservationCodes#procedure-approach | ProcedureApproach,required,Surgery,Local,Local,"Surgical approach (arthroscopic / open / mini-open) for a rotator cuff procedure, carried separately from Procedure.code in a postcoordination style, mirroring the diagnosis-side 'one axis, one element' pattern (ADR-0105/ADR-0106); RotatorCuffProcedureType itself bakes approach into fused codes. Not named by the expert consensus (confirmed against Hurley et al. 2024 full text; SECEC never enumerates procedure technique, ADR-0092). Fully local — no SNOMED concept exists for a standalone 'arthroscopic approach' qualifier (verified July 2026). See ADR-0108.",ProcedureApproachObservation profile (code = ShoulderObservationCodes#procedure-approach; valueCodeableConcept required-bound to ProcedureApproach); linked to its RotatorCuffProcedure via Observation.partOf
L3.E.7,IG-Operational,—,E: Diagnosis & procedure coding,Reconstruction extent,Observation,Observation.code | Observation.valueCodeableConcept,local:ShoulderObservationCodes#reconstruction-extent | ReconstructionExtent,required,Surgery,Local,Reused,"Extent of a rotator cuff procedure (partial repair / complete repair / prosthesis) carried separately from Procedure.code, same postcoordination pattern as L3.E.6. Not named by the expert consensus. valueCodeableConcept reuses four precoordinated SNOMED CT concepts as Observation values (SNOMED 304385007/304384006/308681004/785850002), the same reuse pattern TearThicknessObservation already applies. See ADR-0108.",ReconstructionExtentObservation profile (code = ShoulderObservationCodes#reconstruction-extent; valueCodeableConcept required-bound to ReconstructionExtent); linked to its RotatorCuffProcedure via Observation.partOf
L3.E.8,IG-Operational,—,E: Diagnosis & procedure coding,Fixation technique,Observation,Observation.code | Observation.valueCodeableConcept,local:ShoulderObservationCodes#fixation-technique | FixationTechnique,required,Surgery,Local,Local,"Suture-anchor fixation construct (single-row / double-row / suture-bridge / transosseous-no-anchor / not-applicable) for rotator cuff repair. Not named by the expert consensus, and unlike L3.E.6/L3.E.7 not an existing-but-entangled axis — a coded axis carried as an out-of-consensus addition. Fully local — no SNOMED concept exists for this axis (verified July 2026). See ADR-0108.",FixationTechniqueObservation profile (code = ShoulderObservationCodes#fixation-technique; valueCodeableConcept required-bound to FixationTechnique); linked to its RotatorCuffProcedure via Observation.partOf
L3.F.1,IG-Operational,—,F: Cross-resource linkage,Encounter reasonReference,Encounter,Encounter.reasonReference,—,—,"Registration,Surgery,FollowUp",—,—,Establishes the linkage — every Encounter in the IG must reference the underlying RotatorCuffCondition (ADR-0037),ShoulderEncounter.reasonReference 1..1 MS
L3.F.2,IG-Operational,—,F: Cross-resource linkage,Procedure reasonReference,Procedure,Procedure.reasonReference,—,—,Surgery,—,—,"Surgical procedure references the indication condition. Widened (ADR-0127) so a concomitant procedure can also reference a coexisting ShoulderDiagnosisCondition (e.g. distal clavicle excision for AC joint OA), not only the index RotatorCuffCondition — same relaxation pattern as ADR-0066's ShoulderEncounter.reasonReference.",RotatorCuffProcedure.reasonReference MS only Reference(RotatorCuffCondition or ShoulderDiagnosisCondition)
L3.F.3,IG-Operational,—,F: Cross-resource linkage,Condition observation linkage (stage + evidence),Condition,Condition.stage.assessment | Condition.evidence.detail,—,—,Registration,—,—,"Two ADR-0073 buckets link classification Observations back to the diagnosis: formal gradings (Q4.d Patte / Q4.e Goutallier / Q4.a Cofield tear-size classification) via Condition.stage.assessment; diagnostic evidence (Q4.b tendons involved / Q4.c tear thickness / tear location / provocation tests) via Condition.evidence.detail. Raw tear-size (cm) is in neither, reachable via the encounter chain. See ADR-0073 (ADR-0037 original evidence linkage).",RotatorCuffCondition.stage.assessment + evidence.detail — both MS only Reference(ShoulderObservation)
L3.F.4,IG-Operational,—,F: Cross-resource linkage,Subject references,(all),(resource).subject,—,—,"Registration,Surgery,FollowUp",—,—,Every clinical resource references the same Patient — enables registry-wide queries per subject,subject 1..1 MS only Reference(ShoulderPatient) across Condition / Procedure / Encounter / Observation
L3.F.5,IG-Operational,—,F: Cross-resource linkage,Encounter diagnosis ranking (Hauptdiagnose),Encounter,Encounter.diagnosis.rank,diagnosis-role (use),extensible,Registration,—,Reused,"Marks which Condition (RotatorCuffCondition or ShoulderDiagnosisCondition) is the principal diagnosis for the visit when more than one is submitted in the same registration; reasonReference continues to point at the rank-1 Condition. Populated only when diagnoses.length > 1 — with exactly one, rank is unambiguous. Both frontends apply the same rank-1 CC / rank-2+ CM diagnosis-role split. See ADR-0077, ADR-0145, ADR-0152.",ShoulderEncounter.diagnosis 0..* MS; diagnosis.condition 1..1 MS; diagnosis.rank 0..1 MS; diagnosis.use extensible-bound
